year,week,county,cumulative_cases,inferred_new_cases
2024,44,Orange,2,0
2024,44,Palm Beach,3,0
2024,44,Pasco,8,2
2024,44,Polk,1,1
2024,44,Sarasota,1,0
2024,45,Broward,2,0
2024,45,Hillsborough,4,0
2024,45,Manatee,1,0
2024,45,Miami-Dade,40,6
2024,45,Monroe,3,0
2024,45,Orange,2,0
2024,45,Palm Beach,3,0
2024,45,Pasco,9,1
2024,45,Polk,1,0
2024,45,Sarasota,1,0
2024,46,Broward,2,0
2024,46,Hillsborough,4,0
2024,46,Manatee,1,0
2024,46,Miami-Dade,40,0
2024,46,Monroe,3,0
2024,46,Orange,2,0
2024,46,Palm Beach,3,0
2024,46,Pasco,9,0
2024,46,Polk,1,0
2024,46,Sarasota,1,0
2024,47,Broward,2,0
2024,47,Hillsborough,4,0
2024,47,Manatee,1,0
2024,47,Miami-Dade,40,0
2024,47,Monroe,3,0
2024,47,Orange,2,0
2024,47,Palm Beach,3,0
2024,47,Pasco,9,0
2024,47,Polk,1,0
2024,47,Sarasota,1,0
2024,48,Broward,2,0
2024,48,Hillsborough,4,0
2024,48,Manatee,1,0
2024,48,Miami-Dade,44,4
2024,48,Monroe,3,0
2024,48,Orange,2,0
2024,48,Palm Beach,3,0
2024,48,Pasco,9,0
2024,48,Polk,1,0
2024,48,Sarasota,1,0
2024,49,Broward,2,0
2024,49,Hillsborough,5,1
2024,49,Manatee,1,0
2024,49,Miami-Dade,46,2
2024,49,Monroe,3,0
2024,49,Orange,2,0
2024,49,Palm Beach,3,0
2024,49,Pasco,10,1
2024,49,Polk,1,0
2024,49,Sarasota,1,0
2024,50,Broward,2,0
2024,50,Hillsborough,5,0
2024,50,Manatee,4,3
2024,50,Miami-Dade,47,1
2024,50,Monroe,3,0
2024,50,Orange,2,0
2024,50,Palm Beach,3,0
2024,50,Pasco,11,1
2024,50,Polk,1,0
2024,50,Sarasota,1,0
2024,51,Broward,2,0
2024,51,Hillsborough,6,1
2024,51,Manatee,8,4
2024,51,Miami-Dade,47,0
2024,51,Monroe,3,0
2024,51,Orange,2,0
2024,51,Palm Beach,3,0
2024,51,Pasco,12,1
2024,51,Polk,1,0
2024,51,Sarasota,1,0
2024,52,Broward,2,0
2024,52,Hillsborough,6,0
2024,52,Manatee,8,0
2024,52,Miami-Dade,47,0
2024,52,Monroe,3,0
2024,52,Orange,2,0
2024,52,Palm Beach,3,0
2024,52,Pasco,12,0
2024,52,Polk,1,0
2024,52,Sarasota,1,0
2025,11,Miami-Dade With Onset In February. One Case Has Been Serotyped By Pcr. Please See The Table Below For A Breakdown Of Cases By,1,1
2025,12,Miami-Dade With Onset In February. One Case Has Been Serotyped By Pcr. Please See The Table Below For A Breakdown Of Cases By,1,0
2025,13,Miami-Dade With Onset In February. One Case Has Been Serotyped By Pcr. Please See The Table Below For A Breakdown Of Cases By,1,0
2025,14,Miami-Dade With Onset In February. One Case Has Been Serotyped By Pcr. Please See The Table Below For A Breakdown Of Cases By,1,0
2025,15,Miami-Dade,1,1
2025,16,Miami-Dade,1,0
2025,17,Miami-Dade,1,0
2025,18,Miami-Dade,1,0
2025,19,Miami-Dade,1,0
2025,20,Miami-Dade,1,0
2025,21,Miami-Dade,1,0
2025,22,Miami-Dade,1,0
2025,23,Miami-Dade,1,0
2025,24,Miami-Dade,1,0
2025,25,Miami-Dade,1,0
2025,26,Miami-Dade,1,0
2025,27,Brevard,1,1
2025,27,Miami-Dade,2,1
2025,28,Brevard,1,0
2025,28,Miami-Dade,2,0
2025,29,Brevard,1,0
2025,29,Miami-Dade,2,0
2025,30,Brevard,2,1
2025,30,Miami-Dade,2,0
2025,31,Brevard,6,4
2025,31,Miami-Dade,2,0
2025,32,Brevard,8,2
2025,32,Miami-Dade,2,0
2025,33,Brevard,11,3
2025,33,Hillsborough,1,1
2025,33,Miami-Dade,2,0
2025,34,Brevard,11,0
2025,34,Hillsborough,1,0
2025,34,Miami-Dade,3,1
2025,34,Pasco,1,1
2025,35,Brevard,14,3
2025,35,Hillsborough,1,0
2025,35,Miami-Dade,3,0
2025,35,Pasco,1,0
2025,36,Brevard,19,5
2025,36,Hillsborough,1,0
2025,36,Miami-Dade,3,0
2025,36,Pasco,1,0
2025,37,Brevard,27,8
2025,37,Hillsborough,1,0
2025,37,Miami-Dade,6,3
2025,37,Pasco,1,0
2025,38,Brevard,28,1
2025,38,Hillsborough,1,0
2025,38,Miami-Dade,10,4
2025,38,Pasco,1,0
2025,39,Brevard,30,2
2025,39,Hillsborough,1,0
2025,39,Miami-Dade,13,3
2025,39,Pasco,1,0
2025,40,Brevard,31,1
2025,40,Hillsborough,1,0
2025,40,Miami-Dade,14,1
2025,40,Pasco,1,0
2025,41,Brevard,33,2
2025,41,Hillsborough,1,0
2025,41,Miami-Dade,14,0
2025,41,Pasco,1,0
2025,42,Brevard,34,1
2025,42,Hillsborough,1,0
2025,42,Miami-Dade,14,0
2025,42,Pasco,1,0
2025,43,Brevard,35,1
2025,43,Hillsborough,1,0
2025,43,Miami-Dade,16,2
2025,43,Pasco,1,0
2025,44,Brevard,35,0
2025,44,Hillsborough,1,0
2025,44,Miami-Dade,16,0
2025,44,Pasco,1,0
2025,45,Brevard,35,0
