dengue_year,dengue_week,week_date_range,weekly_travel_cases,cumulative_travel_cases,weekly_local_cases,cumulative_local_cases,dengue_week_start,dengue_week_end,climate_year,climate_week,Week_Start,Week_End,Temp @ 60cm (C) Avg (Weekly Avg),Temp @ 2m (C) Avg (Weekly Avg),Temp @ 10m (C) Avg (Weekly Avg),Relative Humidity (%) Avg (Weekly Avg),Rainfall Amount (in) Sum (Weekly Avg)
2023,35,"August 27-September 2, 2023",14.0,351.0,3.0,22.0,2023-08-27,2023-09-02,2023,35,2023-08-27,2023-09-02,27.4033,27.1949,27.1867,85.6711,0.4678
2023,36,"September 3-9, 2023",16.0,367.0,0.0,22.0,2023-09-03,2023-09-09,2023,36,2023-09-03,2023-09-09,26.3625,26.1852,26.378,78.1194,0.0847
2023,37,"September 10-16, 2023",25.0,392.0,4.0,26.0,2023-09-10,2023-09-16,2023,37,2023-09-10,2023-09-16,27.1986,26.8858,26.9792,81.5526,0.1548
2023,38,"September 17-23, 2023",17.0,409.0,8.0,34.0,2023-09-17,2023-09-23,2023,38,2023-09-17,2023-09-23,25.3227,25.1329,25.2512,79.4785,0.1938
2023,39,"September 24-30, 2023",18.0,427.0,7.0,41.0,2023-09-24,2023-09-30,2023,39,2023-09-24,2023-09-30,25.2503,25.0279,25.0571,85.4215,0.2566
2023,40,"October 1-7, 2023",17.0,444.0,15.0,56.0,2023-10-01,2023-10-07,2023,40,2023-10-01,2023-10-07,25.0615,24.9123,24.9488,80.9378,0.0604
2023,41,"October 8-14, 2023",15.0,459.0,15.0,71.0,2023-10-08,2023-10-14,2023,41,2023-10-08,2023-10-14,23.1782,23.0651,23.1234,80.5407,0.2023
2023,42,"October 15-21, 2023",18.0,477.0,10.0,81.0,2023-10-15,2023-10-21,2023,42,2023-10-15,2023-10-21,19.2152,19.1639,19.4253,74.9905,0.0016
2023,43,"October 22-28, 2023",31.0,508.0,20.0,101.0,2023-10-22,2023-10-28,2023,43,2023-10-22,2023-10-28,22.1753,22.2144,22.4946,76.1359,0.0012
2023,44,"October 29-November 4, 2023",11.0,519.0,12.0,113.0,2023-10-29,2023-11-04,2023,44,2023-10-29,2023-11-04,20.1218,20.041,20.1403,74.6308,0.0048
2023,45,"November 5-11, 2023",16.0,535.0,18.0,131.0,2023-11-05,2023-11-11,2023,45,2023-11-05,2023-11-11,20.4256,20.4743,20.8901,76.2719,0.0212
2023,46,"November 12-18, 2023",16.0,551.0,14.0,145.0,2023-11-12,2023-11-18,2023,46,2023-11-12,2023-11-18,20.6422,20.5345,20.4825,89.2508,0.3567
2023,47,"November 19-25, 2023",19.0,570.0,12.0,157.0,2023-11-19,2023-11-25,2023,47,2023-11-19,2023-11-25,18.797,18.7025,18.862,82.331,0.0285
2023,48,"November 26-December 2, 2023",16.0,586.0,6.0,163.0,2023-11-26,2023-12-02,2023,48,2023-11-26,2023-12-02,14.4212,14.4144,14.6192,78.4515,0.1146
2023,49,"December 3-9, 2023",25.0,611.0,7.0,170.0,2023-12-03,2023-12-09,,,,,,,,,
2023,50,"December 10-16, 2023",19.0,630.0,5.0,175.0,2023-12-10,2023-12-16,,,,,,,,,
2023,51,"December 17-23, 2023",26.0,656.0,3.0,178.0,2023-12-17,2023-12-23,,,,,,,,,
2023,52,"December 24-30, 2023",6.0,662.0,1.0,179.0,2023-12-24,2023-12-30,,,,,,,,,
,,,,,,,,,2024,0,2024-01-01,2024-01-06,13.8942,13.9259,14.2005,81.3068,0.1835
2024,1,,9.0,9.0,0.0,0.0,,,2024,1,2024-01-07,2024-01-13,15.4593,15.5109,15.6159,81.4694,0.1903
2024,2,"January 7-13, 2024",17.0,26.0,9.0,9.0,2024-01-07,2024-01-13,2024,1,2024-01-07,2024-01-13,15.4593,15.5109,15.6159,81.4694,0.1903
2024,3,"January 14-20, 2024",9.0,35.0,0.0,9.0,2024-01-14,2024-01-20,2024,2,2024-01-14,2024-01-20,13.2885,13.1794,13.3019,79.4307,0.1196
2024,4,"January 21-27, 2024",23.0,58.0,3.0,12.0,2024-01-21,2024-01-27,2024,3,2024-01-21,2024-01-27,18.3042,18.2509,18.3391,79.9244,0.0524
2024,5,"January 28-February 3, 2024",12.0,70.0,0.0,12.0,2024-01-28,2024-02-03,2024,4,2024-01-28,2024-02-03,13.4397,13.4525,13.8199,74.7393,0.0036
2024,6,"February 4-10, 2024",4.0,74.0,0.0,12.0,2024-02-04,2024-02-10,2024,5,2024-02-04,2024-02-10,15.4383,15.4313,15.6315,77.4155,0.0788
